matchday,team_id,team_name,matches,goals_for,goals_against,avg_possession,shots,shots_on,fouls,xg_for,conversion_pct,xg_against,finishing,xg_diff,ppda
3,5,Sweden,1,1,1,48.0,11.0,5.0,11.0,0.64,20.0,1.21,0.36,-0.57,19.35
3,6,Brazil,1,3,0,53.0,20.0,9.0,9.0,4.41,33.3,0.87,-1.41,3.54,14.2
3,12,Japan,1,1,1,52.0,8.0,3.0,20.0,1.21,33.3,0.64,-0.21,0.57,10.68
3,15,Switzerland,1,2,1,55.0,6.0,4.0,19.0,1.06,50.0,1.27,0.94,-0.21,8.69
3,16,Mexico,1,3,0,48.0,11.0,5.0,13.0,1.79,60.0,0.47,1.21,1.32,12.44
3,17,South Korea,1,0,1,68.0,8.0,3.0,9.0,1.0,0.0,1.1,-1.0,-0.1,14.12
3,20,Australia,1,0,0,56.0,12.0,5.0,6.0,0.57,0.0,0.25,-0.57,0.32,13.34
3,25,Germany,1,1,2,61.0,11.0,3.0,10.0,0.65,33.3,1.27,0.35,-0.62,11.12
3,28,Tunisia,1,1,3,29.0,10.0,4.0,11.0,0.62,25.0,1.85,0.38,-1.23,17.97
3,31,Morocco,1,4,2,70.0,22.0,11.0,10.0,3.26,36.4,0.52,0.74,2.74,7.12
3,770,Czechia,1,0,3,52.0,13.0,1.0,9.0,0.47,0.0,1.79,-0.47,-1.32,16.17
3,777,Türkiye,1,3,2,48.0,9.0,3.0,13.0,3.21,100.0,2.01,-0.21,1.2,9.02
3,1108,Scotland,1,0,3,47.0,13.0,4.0,10.0,0.87,0.0,4.41,-0.87,-3.54,26.59
3,1113,Bosnia & Herzegovina,1,3,1,55.0,14.0,5.0,9.0,0.64,60.0,0.77,2.36,-0.13,18.87
3,1118,Netherlands,1,3,1,71.0,20.0,7.0,10.0,1.85,42.9,0.62,1.15,1.23,9.21
3,1501,Ivory Coast,1,2,0,63.0,7.0,3.0,6.0,1.31,66.7,0.5,0.69,0.81,10.44
3,1531,South Africa,1,1,0,32.0,13.0,4.0,7.0,1.1,25.0,1.0,-0.1,0.1,21.82
3,1569,Qatar,1,1,3,45.0,9.0,3.0,14.0,0.77,33.3,0.64,0.23,0.13,17.79
3,2380,Paraguay,1,0,0,44.0,7.0,2.0,9.0,0.25,0.0,0.57,-0.25,-0.32,13.07
3,2382,Ecuador,1,2,1,39.0,7.0,3.0,15.0,1.27,66.7,0.65,0.73,0.62,11.17
3,2384,USA,1,2,3,52.0,18.0,7.0,13.0,2.01,28.6,3.21,-0.01,-1.2,11.45
3,2386,Haiti,1,2,4,30.0,5.0,1.0,18.0,0.52,200.0,3.26,1.48,-2.74,9.47
3,5529,Canada,1,1,2,45.0,13.0,7.0,13.0,1.27,14.3,1.06,-0.27,0.21,12.97
3,5530,Curaçao,1,0,2,37.0,11.0,2.0,11.0,0.5,0.0,1.31,-0.5,-0.81,14.51
