matchday,player_id,player_name,team_id,matches,minutes,goals,assists,shots,key_passes,tackles,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,goal_involvements,goals_p90,assists_p90,ga_p90,key_passes_p90,def_actions_p90,duel_win_pct,dribble_success_pct,above_min_threshold
3,36579,Soufiane Rahimi,31,1,25.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,4.0,1.0,1.0,2.0,3.6,3.6,7.2,3.6,0.0,50.0,100.0,False
3,750,Álvaro Fidalgo,16,1,18.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,5.0,50.0,,False
3,313353,Promise David,5529,1,22.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,4.091,0.0,4.091,0.0,4.091,50.0,,False
3,369544,Gessime Yassine,31,1,25.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,3.6,0.0,3.6,0.0,3.6,66.7,,False
3,340173,Ermin Mahmić,1113,1,26.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,3.462,0.0,3.462,3.462,3.462,66.7,0.0,False
3,361966,K. Rodríguez,2382,1,26.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,3.462,3.462,3.462,0.0,50.0,,False
3,53517,Dennis Hadžikadunić,1113,1,27.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,3.333,3.333,3.333,6.667,50.0,,False
3,295977,Tshepang Moremi,1531,1,28.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,3.0,1.0,1.0,1.0,0.0,3.214,3.214,3.214,3.214,60.0,100.0,False
3,3246,N. Pépé,1501,1,67.0,2.0,0.0,2.0,1.0,0.0,2.0,10.0,2.0,1.0,1.0,2.0,2.687,0.0,2.687,1.343,2.687,20.0,100.0,False
3,406244,Johan Manzambi,15,1,85.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,3.0,2.0,1.0,2.0,1.059,1.059,2.118,1.059,0.0,42.9,50.0,False
3,762,Vinícius Júnior,6,1,93.0,2.0,0.0,7.0,2.0,0.0,0.0,10.0,6.0,4.0,3.0,2.0,1.935,0.0,1.935,1.935,0.0,60.0,75.0,True
3,10135,Bruno Guimarães,6,1,93.0,0.0,2.0,0.0,3.0,0.0,0.0,7.0,3.0,2.0,1.0,2.0,0.0,1.935,1.935,2.903,0.0,42.9,50.0,True
3,9,Achraf Hakimi,31,1,95.0,1.0,1.0,3.0,8.0,1.0,1.0,19.0,8.0,8.0,4.0,2.0,0.947,0.947,1.895,7.579,1.895,42.1,50.0,True
3,2545,Hassan Al Haydos,1569,1,56.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,1.607,0.0,1.607,1.607,0.0,50.0,100.0,False
3,35970,Luis Romo,16,1,63.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,3.0,1.0,1.0,1.0,0.0,1.429,1.429,1.429,1.429,50.0,100.0,False
3,84087,Wilson Isidor,2386,1,67.0,1.0,0.0,1.0,0.0,1.0,1.0,7.0,3.0,1.0,0.0,1.0,1.343,0.0,1.343,0.0,2.687,42.9,0.0,False
3,513776,Y. Diomande,1501,1,67.0,0.0,1.0,0.0,3.0,2.0,1.0,11.0,5.0,5.0,2.0,1.0,0.0,1.343,1.343,4.03,4.03,45.5,40.0,False
3,161897,Ismael Saibari,31,1,70.0,1.0,0.0,4.0,1.0,1.0,0.0,9.0,5.0,3.0,1.0,1.0,1.286,0.0,1.286,1.286,1.286,55.6,33.3,False
3,203224,F. Wirtz,25,1,73.0,0.0,1.0,3.0,2.0,1.0,0.0,8.0,5.0,5.0,3.0,1.0,0.0,1.233,1.233,2.466,1.233,62.5,60.0,False
3,354831,Thapelo Maseko,1531,1,75.0,1.0,0.0,2.0,1.0,1.0,0.0,15.0,6.0,5.0,1.0,1.0,1.2,0.0,1.2,1.2,1.2,40.0,20.0,False
3,1165,Matheus Cunha,6,1,76.0,1.0,0.0,4.0,1.0,1.0,1.0,6.0,5.0,2.0,2.0,1.0,1.184,0.0,1.184,1.184,2.368,83.3,100.0,False
3,390002,Mateo Chávez,16,1,78.0,1.0,0.0,1.0,1.0,1.0,0.0,7.0,5.0,2.0,2.0,1.0,1.154,0.0,1.154,1.154,1.154,71.4,100.0,False
3,42075,Edmilson Junior,1569,1,79.0,0.0,1.0,0.0,2.0,1.0,0.0,8.0,3.0,2.0,1.0,1.0,0.0,1.139,1.139,2.278,1.139,37.5,50.0,False
3,48471,Rubén Vargas,15,1,80.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,1.0,1.125,0.0,1.125,0.0,1.125,25.0,,False
3,20655,Jean-Kévin Duverne,2386,1,80.0,0.0,1.0,0.0,2.0,4.0,3.0,11.0,5.0,3.0,1.0,1.0,0.0,1.125,1.125,2.25,7.875,45.5,33.3,False
3,407806,Rayan,6,1,82.0,0.0,1.0,2.0,4.0,2.0,1.0,10.0,7.0,2.0,2.0,1.0,0.0,1.098,1.098,4.39,3.293,70.0,100.0,False
3,395559,Kerim Alajbegović,1113,1,82.0,1.0,0.0,1.0,2.0,0.0,0.0,17.0,10.0,9.0,6.0,1.0,1.098,0.0,1.098,2.195,0.0,58.8,66.7,False
3,421,Breel Embolo,15,1,85.0,0.0,1.0,2.0,1.0,0.0,1.0,11.0,7.0,2.0,2.0,1.0,0.0,1.059,1.059,1.059,1.059,63.6,100.0,False
3,311543,N. Angulo,2382,1,85.0,1.0,0.0,1.0,1.0,0.0,1.0,14.0,8.0,6.0,4.0,1.0,1.059,0.0,1.059,1.059,1.059,57.1,66.7,False
3,2879,Roberto Alvarado,16,1,90.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,100.0,,True
3,16369,G. Plata,2382,1,90.0,1.0,0.0,2.0,0.0,3.0,0.0,14.0,5.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,35.7,50.0,True
